cat,lambda_baseline,lambda_halo,d_lambda,dPF1,R2_baseline,at_bound_baseline,R2_halo,at_bound_halo
bottle,499.99997991897067,379.8359958324218,-120.16398408654885,0.05572397318294953,0.9996152350542643,True,0.9993496881717628,False
cable,499.9999999978447,499.99999999998704,2.1423147700261325e-09,0.21145886164882532,0.9931988653709832,True,0.9991447155339415,True
capsule,221.10594727893493,77.3953801229843,-143.71056715595063,0.11477983999389174,0.9995099598701195,False,0.9991785109503035,False
carpet,499.999999999699,475.8774924474585,-24.122507552240506,0.10287879776150755,0.9970332919876703,True,0.9993005588205931,False
grid,499.8207756061766,440.0417144701891,-59.77906113598749,-0.0188899084081825,0.9988380320489719,True,0.9985718814087963,False
hazelnut,499.99999999946766,345.0735201948723,-154.92647980459537,0.19731201869062676,0.9953943700420219,True,0.9988830384777381,False
leather,499.9999999996403,499.9999999999343,2.9399416234809905e-10,0.060622513208185236,0.9891457907441233,True,0.9985580933870783,True
metal_nut,499.9971552070874,499.9999999861348,0.002844779047393331,0.08952736864083699,0.9581207736955489,True,0.9889836798371301,True
pill,499.9997661730258,169.5371659908001,-330.46260018222574,0.09004330443499503,0.9982803963401844,True,0.9991441744865004,False
screw,499.99988332368076,112.64189745819499,-387.3579858654858,0.08334673853593594,0.9987275754975251,True,0.9997272959808013,False
tile,499.99999999397534,317.155866083107,-182.84413391086832,0.09581923454643204,0.9864241789843448,True,0.9887167491899711,False
toothbrush,499.99998484003453,499.9999999999988,1.5159964277700055e-05,0.12300991986542065,0.9991714138042314,True,0.9981033139469826,True
transistor,499.9895005675071,499.9973850321375,0.007884464630421917,0.2723532877709684,0.9983823616454485,True,0.9979319562278253,True
wood,499.9999999999707,470.66847474588553,-29.331525254085193,0.06426110616410086,0.9978936866518309,True,0.9990592319597015,False
zipper,292.3834338735425,82.48713292167474,-209.89630095186777,0.07935217550689622,0.999917232806762,False,0.9999458441296878,False
