arm,cat,lambda,E0,E_bg,R2,lambda_at_bound,n_anomaly_imgs,n_bins
baseline,carpet,499.999999999699,0.31513402510500294,0.2654734545527049,0.9970332919876703,True,89,50
baseline,grid,499.8207756061766,0.3764949873282629,0.2044878539497033,0.9988380320489719,True,57,50
baseline,leather,499.9999999996403,0.2434262895311584,0.35333632251853336,0.9891457907441233,True,92,50
baseline,tile,499.99999999397534,0.444738179587674,0.14478972124379602,0.9864241789843448,True,84,50
baseline,wood,499.9999999999707,0.3123109758239358,0.2647515821028228,0.9978936866518309,True,60,50
baseline,bottle,499.99997991897067,0.3131940427230093,0.26241018968982804,0.9996152350542643,True,63,50
baseline,cable,499.9999999978447,0.21746314385075904,0.3614135936991542,0.9931988653709832,True,92,50
baseline,capsule,221.10594727893493,0.12342693315370616,0.4507199549541357,0.9995099598701195,False,109,50
baseline,hazelnut,499.99999999946766,0.3602146311160509,0.23182537490041544,0.9953943700420219,True,70,50
baseline,metal_nut,499.9971552070874,0.21832904644139636,0.3539002248229484,0.9581207736955489,True,93,50
baseline,pill,499.9997661730258,0.33320347140920975,0.24198606182782684,0.9982803963401844,True,141,50
baseline,screw,499.99988332368076,0.232836617764888,0.35012662587945775,0.9987275754975251,True,119,50
baseline,toothbrush,499.99998484003453,0.23601967144788477,0.34774287220424555,0.9991714138042314,True,30,50
baseline,transistor,499.9895005675071,0.1773532806892315,0.3843827135928121,0.9983823616454485,True,40,50
baseline,zipper,292.3834338735425,0.12135191166737558,0.4466050693084913,0.999917232806762,False,119,50
halo,carpet,475.8774924474585,0.649739882982303,4.2711636365298095e-19,0.9993005588205931,False,89,50
halo,grid,440.0417144701891,0.6541151267083114,1.0763671177234022e-18,0.9985718814087963,False,57,50
halo,leather,499.9999999999343,0.53117333214912,0.14425937622130447,0.9985580933870783,True,92,50
halo,tile,317.155866083107,0.6854106690944736,1.3662593108879058e-10,0.9887167491899711,False,84,50
halo,wood,470.66847474588553,0.6391325499664658,5.382218677075346e-08,0.9990592319597015,False,60,50
halo,bottle,379.8359958324218,0.6573110892372798,4.594094947670511e-19,0.9993496881717628,False,63,50
halo,cable,499.99999999998704,0.6044289021959625,0.03220479910955076,0.9991447155339415,True,92,50
halo,capsule,77.3953801229843,0.09640146231801494,0.5056160435608151,0.9991785109503035,False,109,50
halo,hazelnut,345.0735201948723,0.6704409460067063,2.1449140754842746e-10,0.9988830384777381,False,70,50
halo,metal_nut,499.9999999861348,0.5340960753131093,0.07995485910480953,0.9889836798371301,True,93,50
halo,pill,169.5371659908001,0.22919966544912146,0.3750922889309803,0.9991441744865004,False,141,50
halo,screw,112.64189745819499,0.09658965688652328,0.5024431235804852,0.9997272959808013,False,119,50
halo,toothbrush,499.9999999999988,0.6330173045283521,0.017345411926342636,0.9981033139469826,True,30,50
halo,transistor,499.9973850321375,0.3995603176637266,0.20071451822875974,0.9979319562278253,True,40,50
halo,zipper,82.48713292167474,0.11252788610366644,0.5061640761430458,0.9999458441296878,False,119,50
