arm,cat,lambda,E0,E_bg,R2,lambda_at_bound,n_anomaly_imgs,n_bins
baseline,carpet,7.118499092304743,5.8236714776552294e-05,7.178612004029234e-11,-5.820632347463659e+30,False,89,50
baseline,grid,7.118324732463183,5.825066646011127e-05,7.180265338035485e-11,-7.495292615406849e+29,False,57,50
baseline,leather,7.118414159003374,5.8218819233639914e-05,7.176242596950362e-11,-4.5132269581534647e+30,False,92,50
baseline,tile,7.1183793658591,5.824704064833405e-05,7.179971693107762e-11,-1.639311301376845e+29,False,84,50
baseline,wood,7.11849187961937,5.8210960851171055e-05,7.17523009472992e-11,-1.3479899229380237e+28,False,60,50
baseline,bottle,7.118148990149312,5.8257595461941794e-05,7.181183771679705e-11,-9.788105609243969e+29,False,63,50
baseline,cable,7.11861820305772,5.82393164862969e-05,7.179203423236759e-11,-4.98092134905551e+32,False,92,50
baseline,capsule,7.117949588481627,5.818222017954241e-05,7.170585905010882e-11,-3.634035389154961e+30,False,109,50
baseline,hazelnut,7.118532768989239,5.8233462904640024e-05,7.178252931106627e-11,-5.838577774392299e+31,False,70,50
baseline,metal_nut,7.118420297177058,5.824488686136495e-05,7.179778892005365e-11,-2.868895558283397e+27,False,93,50
baseline,pill,7.118262271661485,5.824130613849037e-05,7.179140329131879e-11,-1.759907976654908e+28,False,141,50
baseline,screw,7.11799461571472,5.825522874454836e-05,7.180613341243744e-11,-4.3842869108694246e+29,False,119,50
baseline,toothbrush,7.118305472282866,5.822368443912483e-05,7.176792210091058e-11,-1.0575428899976203e+31,False,30,50
baseline,transistor,7.117894647343903,5.815089682354697e-05,7.165887212593102e-11,-2.852139074897479e+29,False,40,50
baseline,zipper,7.118526724366059,5.8192115323197634e-05,7.172869918533405e-11,-1.866970604092926e+29,False,119,50
halo,carpet,70.09652414855354,0.6178238236879972,1.4823655603379043e-19,0.9944146260004627,False,89,50
halo,grid,77.13678847480297,0.6473811846773063,6.076552706435947e-18,0.9882858984462096,False,57,50
halo,leather,111.49132000895547,0.7008743643888419,6.8715294901585335e-12,0.9989890546615816,False,92,50
halo,tile,55.54043845824869,0.8673445607684476,4.9961172019852625e-17,0.9672311554096719,False,84,50
halo,wood,61.68077091043355,0.5582781482479917,1.1905578443895776e-21,0.9922650584791655,False,60,50
halo,bottle,52.559893625018354,0.7325715520892889,5.7261300206898595e-15,0.9854007775578192,False,63,50
halo,cable,51.2720875706154,0.5258628800838718,4.382280100683765e-24,0.9882889848173618,False,92,50
halo,capsule,35.85164184075603,0.2434347049111801,2.8357445288782153e-14,0.9975536970395221,False,109,50
halo,hazelnut,42.64813359507278,0.732121519355071,4.0874573203149465e-15,0.9848315420892214,False,70,50
halo,metal_nut,43.658435566685306,0.3829219897308949,1.3226995046442049e-15,0.9720197938302073,False,93,50
halo,pill,26.535148451357454,0.27994068472110273,4.508526563436693e-16,0.9796493764327985,False,141,50
halo,screw,32.675139936707396,0.14288721419240435,0.0013444134263653153,0.9992895294058367,False,119,50
halo,toothbrush,60.52593344889502,0.5974741952158024,4.760150948671182e-19,0.9875411256587787,False,30,50
halo,transistor,64.10103998828596,0.3382962932555244,1.2080191558811983e-18,0.9873894961914718,False,40,50
halo,zipper,49.39857368057823,0.438386243978479,5.509152126573876e-25,0.9996313952687179,False,119,50
