cat,lambda_baseline,lambda_halo,d_lambda,dPF1,R2_baseline,at_bound_baseline,R2_halo,at_bound_halo
bottle,7.118148990149312,52.559893625018354,45.44174463486904,0.05572397318294953,-9.788105609243969e+29,False,0.9854007775578192,False
cable,7.11861820305772,51.2720875706154,44.153469367557676,0.21145886164882532,-4.98092134905551e+32,False,0.9882889848173618,False
capsule,7.117949588481627,35.85164184075603,28.733692252274402,0.11477983999389174,-3.634035389154961e+30,False,0.9975536970395221,False
carpet,7.118499092304743,70.09652414855354,62.978025056248796,0.10287879776150755,-5.820632347463659e+30,False,0.9944146260004627,False
grid,7.118324732463183,77.13678847480297,70.01846374233979,-0.0188899084081825,-7.495292615406849e+29,False,0.9882858984462096,False
hazelnut,7.118532768989239,42.64813359507278,35.52960082608354,0.19731201869062676,-5.838577774392299e+31,False,0.9848315420892214,False
leather,7.118414159003374,111.49132000895547,104.37290584995209,0.060622513208185236,-4.5132269581534647e+30,False,0.9989890546615816,False
metal_nut,7.118420297177058,43.658435566685306,36.540015269508245,0.08952736864083699,-2.868895558283397e+27,False,0.9720197938302073,False
pill,7.118262271661485,26.535148451357454,19.416886179695968,0.09004330443499503,-1.759907976654908e+28,False,0.9796493764327985,False
screw,7.11799461571472,32.675139936707396,25.557145320992674,0.08334673853593594,-4.3842869108694246e+29,False,0.9992895294058367,False
tile,7.1183793658591,55.54043845824869,48.42205909238959,0.09581923454643204,-1.639311301376845e+29,False,0.9672311554096719,False
toothbrush,7.118305472282866,60.52593344889502,53.407627976612154,0.12300991986542065,-1.0575428899976203e+31,False,0.9875411256587787,False
transistor,7.117894647343903,64.10103998828596,56.98314534094206,0.2723532877709684,-2.852139074897479e+29,False,0.9873894961914718,False
wood,7.11849187961937,61.68077091043355,54.56227903081418,0.06426110616410086,-1.3479899229380237e+28,False,0.9922650584791655,False
zipper,7.118526724366059,49.39857368057823,42.280046956212175,0.07935217550689622,-1.866970604092926e+29,False,0.9996313952687179,False
