arm,cat,n_normal,n_anomaly,combined_normal_mean,combined_normal_max_mean,combined_normal_top1pct_mean,combined_normal_frac_gt_0.5,seghead_normal_mean,seghead_normal_max_mean,seghead_normal_top1pct_mean,seghead_normal_frac_gt_0.5,combined_anom_interior_mean,combined_anom_halo_mean,combined_anom_farbg_mean,seghead_anom_interior_mean,seghead_anom_halo_mean,seghead_anom_farbg_mean
baseline,carpet,28,89,0.5487475203616279,0.622243902512959,0.5944569706916809,1.0,1.3262197802446763e-18,9.093975267650874e-15,1.1355538403344436e-16,0.0,0.588065578223517,0.5780084349205865,0.5279213438342737,9.153961236521469e-21,4.1185718115980454e-20,1.4297748767632727e-18
baseline,grid,21,57,0.5477261685189747,0.6222552344912574,0.5915260570389884,1.0,1.7436819109424742e-18,1.2476542655228149e-14,1.4950444303600695e-16,0.0,0.5821675983368346,0.5780451573415537,0.5242058192955167,2.643701879949208e-19,4.0684546113442444e-20,1.864302929197007e-18
baseline,leather,32,92,0.5475627053529024,0.6222708523273468,0.59295261092484,1.0,1.3025483535784389e-18,8.928290699788927e-15,1.117788381284439e-16,0.0,0.5960532400927155,0.5940964648766287,0.5266019406948597,3.237134354250758e-21,6.093169676575695e-21,1.45079914966611e-18
baseline,tile,33,84,0.5440977107394825,0.622096755287864,0.5940590320211468,1.0,1.4020667830461264e-18,9.357082002113253e-15,1.2017730948119646e-16,0.0,0.5839292700338464,0.5842656688740996,0.5235386342990278,6.387526770991319e-19,5.964717608485148e-20,1.719714697900883e-18
baseline,wood,19,60,0.5491877135477568,0.6222609375652514,0.6002492967404818,1.0,1.3251517709334296e-18,8.523493629219463e-15,1.143406344875829e-16,0.0,0.5803029086072369,0.5743432723511499,0.528024575555427,3.4321793523930948e-19,9.156678189990574e-20,1.5721939036652446e-18
baseline,bottle,20,63,0.5436282247304917,0.6222651928663254,0.5954986989498139,1.0,1.7064825941161787e-18,1.5628271687027647e-14,1.5535869228094633e-16,0.0,0.5822443126450608,0.5736990966260237,0.5281180654774394,1.3641904489644501e-22,6.3457578004898815e-22,1.9231269468391513e-18
baseline,cable,58,92,0.5479519079471457,0.6222685411058623,0.6002908482633788,1.0,1.3605599010688703e-18,9.128438657819989e-15,1.1871576170239377e-16,0.0,0.5800402095172338,0.577012593916347,0.5359209662496348,3.6372767490359714e-22,5.309637564322887e-22,1.5426791233752846e-18
baseline,capsule,23,109,0.5378982606141464,0.6223215020221212,0.5964404940605164,1.0,1.3677765357781162e-18,1.1316877528310627e-14,1.2135105386998411e-16,0.0,0.574529301193145,0.5722554672426677,0.5284718969353623,3.0200211916314774e-21,3.278583627909294e-21,1.4016687592970721e-18
baseline,hazelnut,40,70,0.5459506407380104,0.6222974076867104,0.6011618867516517,1.0,1.3873900058935458e-18,1.2085377428250603e-14,1.242480813652252e-16,0.0,0.590295052727206,0.58874744187376,0.5301676919375751,8.84102255173122e-23,5.681363516865477e-22,1.521110974353273e-18
baseline,metal_nut,22,93,0.5536754537712444,0.6222387985749678,0.5990870459513231,1.0,1.5493572214883404e-18,1.3409405577532648e-14,1.4164511949658258e-16,0.0,0.5668361593177134,0.5691028952776872,0.5350227808863768,6.400200052055816e-22,2.9634043254660826e-21,1.9798221033114267e-18
baseline,pill,26,141,0.5442116421002609,0.622243351661242,0.5964193825538342,1.0,1.3490806319065487e-18,1.0578890939790496e-14,1.1961925394354004e-16,0.0,0.5711339808119914,0.5727433405240578,0.5308168638969036,5.43978133389367e-21,4.3645217039944315e-21,1.5088686877884304e-18
baseline,screw,41,119,0.5396530003082461,0.6223322124015994,0.602049189369853,1.0,1.3351720185311325e-18,1.061113331090575e-14,1.1850283729814342e-16,0.0,0.585555034104091,0.5812325254807355,0.5316387106255402,1.3926291181096623e-21,2.91659404466091e-21,1.3458820105036978e-18
baseline,toothbrush,12,30,0.5445063412189484,0.6223109861214956,0.5976454516251882,1.0,1.2994750997218173e-18,9.511976215655899e-15,1.151540558358745e-16,0.0,0.5834040146215792,0.58224787944829,0.532429299283367,1.795852575434359e-21,2.729327412232286e-21,1.3728290071673398e-18
baseline,transistor,60,40,0.5438455571730931,0.622258389989535,0.5939344336589177,1.0,1.381223162461931e-18,8.919254555836922e-15,1.1766690160692577e-16,0.0,0.5594390208390214,0.560093494002384,0.5344318993658427,5.656874747879745e-21,1.965765359623135e-20,1.7377824848922657e-18
baseline,zipper,32,119,0.5459131114184856,0.622326672077179,0.5941706243902445,1.0,1.2762930690181604e-18,1.0425906201604529e-14,1.1304149831423312e-16,0.0,0.5749828928257016,0.5669081307303542,0.5304143466600837,2.7452024317671274e-20,5.008448741431287e-20,1.3390805081366341e-18
halo,carpet,28,89,0.5509574519736427,0.6454285830259323,0.6103507024901254,1.0,0.018003415100143423,0.6883809891130243,0.3709069187087672,0.0032480103628976004,0.6785014541943277,0.64534151657085,0.5317340016560107,0.7948286806639204,0.5854681310145883,0.031149398204833263
halo,grid,21,57,0.5486445966221037,0.6282684547560555,0.5939861791474479,1.0,0.007441495376129058,0.3696621207609063,0.15416702206823088,0.00039686475481305806,0.659837966889127,0.6483676482501324,0.5267318906378214,0.6768128639788956,0.6101015897995956,0.020801146773738455
halo,leather,32,92,0.5499453376978636,0.6569812148809433,0.6196093410253525,1.0,0.01949057159072254,0.7277332707308233,0.4283164783846587,0.006342709064483643,0.6870179314606513,0.6716877875197784,0.5348147720037051,0.8033104932220333,0.6826534010979531,0.06798904525127608
halo,tile,33,84,0.5447702209154764,0.6422203183174133,0.6042640787182432,1.0,0.005491513083336141,0.5523390917841232,0.22468005679547787,0.0011323266680409538,0.6822441583030987,0.6734018423716494,0.5265009322429574,0.8605632344186704,0.7809611897748455,0.024318926160565347
halo,wood,19,60,0.5538836372526068,0.6748140987597013,0.6427289874930131,1.0,0.039209400260771965,0.7621278860851338,0.5445820213736672,0.024576438100714432,0.6585414824197848,0.6335611472192456,0.5329805667778948,0.6842984896159946,0.5147123497045188,0.04099296723198235
halo,bottle,20,63,0.5437460899353027,0.6235107541084289,0.5965521603822708,1.0,0.0009577419463312253,0.13032176094129683,0.03861915934830904,3.2160493827160496e-05,0.6759026820921497,0.6514324160784891,0.5314127464940772,0.8149822901663699,0.6699427453124804,0.02734220386129327
halo,cable,58,92,0.5487492526399678,0.6575025648906313,0.6203492016627871,1.0,0.006657378091717717,0.6012673880262621,0.2699170662571901,0.003045509601461476,0.6530890736773199,0.6324787711781341,0.5377026947197123,0.6370823416890322,0.48185782011170825,0.014733875708857532
